idx,topic,domain,layer,alpha,novice_base.n_words,novice_plusv.n_words,expert_base.n_words,expert_minusv.n_words,delta_novice_plusv_minus_base.n_words,delta_expert_minusv_minus_base.n_words,novice_base.fk_grade,novice_plusv.fk_grade,expert_base.fk_grade,expert_minusv.fk_grade,delta_novice_plusv_minus_base.fk_grade,delta_expert_minusv_minus_base.fk_grade,novice_base.fk_ease,novice_plusv.fk_ease,expert_base.fk_ease,expert_minusv.fk_ease,delta_novice_plusv_minus_base.fk_ease,delta_expert_minusv_minus_base.fk_ease,novice_base.jargon_rate,novice_plusv.jargon_rate,expert_base.jargon_rate,expert_minusv.jargon_rate,delta_novice_plusv_minus_base.jargon_rate,delta_expert_minusv_minus_base.jargon_rate,novice_base.definition_count,novice_plusv.definition_count,expert_base.definition_count,expert_minusv.definition_count,delta_novice_plusv_minus_base.definition_count,delta_expert_minusv_minus_base.definition_count,novice_base.example_count,novice_plusv.example_count,expert_base.example_count,expert_minusv.example_count,delta_novice_plusv_minus_base.example_count,delta_expert_minusv_minus_base.example_count,novice_base.bullet_count,novice_plusv.bullet_count,expert_base.bullet_count,expert_minusv.bullet_count,delta_novice_plusv_minus_base.bullet_count,delta_expert_minusv_minus_base.bullet_count,novice_base.math_symbol_rate,novice_plusv.math_symbol_rate,expert_base.math_symbol_rate,expert_minusv.math_symbol_rate,delta_novice_plusv_minus_base.math_symbol_rate,delta_expert_minusv_minus_base.math_symbol_rate
0,Interpretable Neural Architecture Search,Machine Learning,20,1.0,185.0,179.0,173.0,173.0,-6.0,0.0,12.481462450592886,12.640909090909094,13.267984496124033,13.267984496124033,0.15944664031620803,0.0,35.369861660079096,32.93136363636364,33.97675710594319,33.97675710594319,-2.4384980237154537,0.0,0.2185792349726776,0.21839080459770116,0.21142857142857144,0.21142857142857144,-0.00018843037497642823,0.0,6.0,8.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Explainable AI in Medical Diagnosis,Healthcare Technology,20,1.0,173.0,173.0,155.0,155.0,0.0,0.0,14.961624277456647,14.893416184971102,15.432139261744968,15.432139261744968,-0.06820809248554482,0.0,18.608447976878665,19.097465317919102,17.595054530201367,17.595054530201367,0.48901734104043726,0.0,0.25443786982248523,0.25443786982248523,0.2631578947368421,0.2631578947368421,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Causal Inference in Recommendation Systems,Data Science,20,1.0,188.0,184.0,166.0,166.0,-4.0,0.0,16.67287234042553,14.957246376811597,13.40949689440994,13.189621118012422,-1.7156259636139346,-0.21987577639751876,17.38250000000002,24.24041062801936,27.599090062111827,29.175487577639785,6.85791062801934,1.5763975155279581,0.16580310880829016,0.16842105263157894,0.20245398773006135,0.18787878787878787,0.002617943823288782,-0.01457519985127348,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Feature Importance in Surrogate Models,Statistics,20,1.0,178.0,182.0,166.0,171.0,4.0,5.0,15.579666666666668,15.079206428930188,16.012753623188406,16.315753012048194,-0.5004602377364797,0.3029993888597886,14.88983898305085,16.25960321446513,12.121256038647346,15.044834337349442,1.3697642314142797,2.923578298702097,0.24855491329479767,0.25280898876404495,0.2345679012345679,0.22023809523809523,0.004254075469247276,-0.014329805996472655,4.0,4.0,3.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,6.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Adversarial Robustness in Interpretable Models,Cybersecurity,20,1.0,175.0,175.0,173.0,173.0,0.0,0.0,14.147116883116883,14.147116883116883,16.248070175438603,16.110058479532164,0.0,-0.1380116959064388,21.97070129870133,21.97070129870133,12.413157894736855,13.402631578947393,0.0,0.9894736842105374,0.2159090909090909,0.2159090909090909,0.27011494252873564,0.2556818181818182,0.0,-0.014433124346917459,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Interactive Visualization Techniques for Model Interpretability,Data Visualization,20,1.0,172.0,173.0,173.0,170.0,1.0,-3.0,11.020972515856236,11.892769311613243,12.588394120849212,14.368232013385391,0.8717967957570067,1.7798378925361789,43.89781183932348,37.80939043615345,31.850604246053365,18.442398215281656,-6.088421403170031,-13.408206030771709,0.1686046511627907,0.19186046511627908,0.2215568862275449,0.2822085889570552,0.023255813953488386,0.06065170272951029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Model-Agnostic Explanation Methods,AI Ethics,20,1.0,174.0,173.0,154.0,155.0,-1.0,1.0,15.777558139534886,15.503139534883726,13.097813267813269,13.941459459459463,-0.2744186046511601,0.8436461916461937,20.239244186046534,22.206686046511635,25.121879606879645,21.469756756756766,1.967441860465101,-3.652122850122879,0.21839080459770116,0.2057142857142857,0.20915032679738563,0.22727272727272727,-0.01267651888341545,0.018122400475341638,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Robustness Metrics for Explainable AI,Machine Learning,20,1.0,174.0,151.0,150.0,150.0,-23.0,0.0,14.92506792058516,16.86196428571429,15.97169326241135,15.97169326241135,1.9368963651291295,0.0,16.231269592476508,6.8986607142857395,11.945625000000007,11.945625000000007,-9.332608878190769,0.0,0.23595505617977527,0.28,0.2571428571428571,0.2571428571428571,0.04404494382022475,0.0,5.0,2.0,2.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Human-Centric Interpretability in Machine Learning,Human-Computer Interaction,20,1.0,163.0,163.0,146.0,146.0,0.0,0.0,12.227903225806454,12.83693548387097,15.978571428571431,15.72571428571429,0.6090322580645164,-0.2528571428571418,35.001854838709704,30.6354032258065,16.12642857142862,17.939285714285745,-4.366451612903205,1.8128571428571263,0.23529411764705882,0.1794871794871795,0.2517482517482518,0.24475524475524477,-0.05580693815987933,-0.006993006993007006,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Incremental Learning and Interpretability,Artificial Intelligence,20,1.0,177.0,180.0,173.0,170.0,3.0,-3.0,14.922964285714286,13.967534916201117,13.620325581395353,14.492489959839357,-0.955429369513169,0.8721643784440047,27.034160714285747,34.77465432960898,28.04676744186048,24.01027443105761,7.740493615323231,-4.036493010802872,0.17714285714285713,0.1452513966480447,0.18604651162790697,0.23809523809523808,-0.031891460494812424,0.05204872646733111,4.0,5.0,2.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
